,Date,Temp(C),MaxTemp(C),MinTemp(C),RangeTemp(C),SurfaceTemp(C)
0,20100101,2.69,4.69,1.27,3.42,0.65
1,20100102,-2.13,1.79,-6.77,8.56,-3.61
2,20100103,-5.5,-4.21,-6.76,2.55,-7.5
3,20100104,-3.08,-0.22,-4.72,4.5,-4.97
4,20100105,-2.77,-0.01,-4.7,4.69,-4.44
5,20100106,-1.38,1.46,-3.1,4.56,-3.31
6,20100107,0.46,3.33,-1.68,5.01,-2.05
7,20100108,-0.6,1.12,-4.0,5.12,-2.14
8,20100109,-3.74,-0.55,-6.32,5.77,-5.8
9,20100110,-4.58,-1.19,-7.59,6.4,-7.06
10,20100111,-2.23,-0.17,-4.71,4.54,-4.67
11,20100112,-1.11,1.78,-3.99,5.77,-3.29
12,20100113,-1.11,1.85,-4.27,6.12,-3.1
13,20100114,1.01,3.57,-1.85,5.42,-1.41
14,20100115,3.14,5.91,1.18,4.73,0.05
15,20100116,3.59,6.6,1.54,5.06,0.25
16,20100117,3.6,4.69,2.48,2.21,1.25
17,20100118,4.05,6.92,2.5,4.42,2.17
18,20100119,4.47,6.32,1.95,4.37,1.83
19,20100120,2.14,4.47,0.71,3.76,-0.33
20,20100121,1.71,3.73,-0.22,3.95,-0.47
21,20100122,2.35,4.11,0.67,3.44,-0.39
22,20100123,0.97,2.9,-1.17,4.07,-1.44
23,20100124,4.95,7.2,1.79,5.41,2.7
24,20100125,8.93,12.08,5.68,6.4,8.68
25,20100126,3.73,5.65,0.74,4.91,1.93
26,20100127,1.24,3.34,-0.39,3.73,-0.67
27,20100128,1.71,6.22,-4.37,10.59,-0.17
28,20100129,-5.0,-3.83,-6.1,2.27,-5.61
29,20100130,-6.01,-4.54,-7.43,2.89,-6.95
30,20100131,-3.97,-1.17,-6.94,5.77,-4.83
31,20100201,-1.28,1.62,-3.68,5.3,-2.74
32,20100202,-0.72,1.05,-2.95,4.0,-2.57
33,20100203,1.0,2.79,-0.07,2.86,-0.46
34,20100204,0.35,2.11,-1.4,3.51,-1.15
35,20100205,0.23,1.62,-1.75,3.37,-1.74
36,20100206,-2.23,0.72,-4.95,5.67,-3.68
37,20100207,-3.52,1.15,-6.99,8.14,-5.32
38,20100208,-1.79,1.93,-4.8,6.73,-4.03
39,20100209,0.02,3.04,-3.31,6.35,-1.72
40,20100210,1.0,1.38,0.27,1.11,-0.16
41,20100211,-0.28,1.54,-3.07,4.61,-2.63
42,20100212,-2.14,1.35,-5.03,6.38,-6.89
43,20100213,-2.3,-0.32,-4.4,4.08,-5.1
44,20100214,-0.54,2.24,-3.2,5.44,-2.8
45,20100215,-0.06,2.18,-2.87,5.05,-2.16
46,20100216,0.6,1.67,-1.02,2.69,-0.84
47,20100217,-0.45,1.37,-3.11,4.48,-2.23
48,20100218,1.55,4.08,-0.57,4.65,-0.57
49,20100219,2.54,5.15,0.46,4.69,0.53
50,20100220,2.8,6.03,0.85,5.18,1.14
51,20100221,2.2,5.59,-0.06,5.65,0.53
52,20100222,1.48,3.8,-1.03,4.83,1.02
53,20100223,2.68,3.32,2.13,1.19,2.06
54,20100224,2.98,4.1,1.77,2.33,2.21
55,20100225,1.16,2.03,-1.88,3.91,-0.12
56,20100226,-0.44,1.01,-2.26,3.27,-1.67
57,20100227,0.1,2.37,-2.85,5.22,-2.2
58,20100228,1.34,3.13,0.03,3.1,-1.43
59,20100301,2.65,5.32,0.66,4.66,0.77
60,20100302,3.08,5.71,0.79,4.92,2.18
61,20100303,2.66,3.96,1.54,2.42,1.83
62,20100304,3.4,5.97,1.59,4.38,3.1
63,20100305,2.57,4.83,0.77,4.06,1.38
64,20100306,2.93,7.54,-1.08,8.62,2.31
65,20100307,4.61,9.4,0.63,8.77,4.28
66,20100308,5.42,10.26,1.08,9.18,5.38
67,20100309,6.87,11.05,2.5,8.55,6.28
68,20100310,5.26,7.29,2.98,4.31,4.98
69,20100311,5.88,7.45,4.63,2.82,6.82
70,20100312,5.38,6.5,4.74,1.76,5.79
71,20100313,6.47,7.69,4.99,2.7,6.85
72,20100314,6.36,7.83,4.66,3.17,7.68
73,20100315,5.17,6.31,4.57,1.74,5.24
74,20100316,7.32,10.86,4.51,6.35,7.28
75,20100317,7.1,11.46,2.64,8.82,7.64
76,20100318,8.34,12.6,4.35,8.25,8.75
77,20100319,9.18,13.4,4.9,8.5,10.03
78,20100320,9.3,13.97,5.76,8.21,10.98
79,20100321,7.76,10.08,5.76,4.32,9.74
80,20100322,8.5,10.2,6.75,3.45,10.56
81,20100323,8.11,9.02,6.77,2.25,9.67
82,20100324,7.39,10.86,4.66,6.2,7.52
83,20100325,8.19,10.02,5.84,4.18,7.79
84,20100326,4.94,9.21,0.78,8.43,4.37
85,20100327,0.97,3.01,-1.15,4.16,1.45
86,20100328,5.61,8.37,1.55,6.82,5.01
87,20100329,8.83,9.54,8.09,1.45,9.51
88,20100330,7.06,7.96,6.15,1.81,7.43
89,20100331,8.28,10.65,6.16,4.49,9.1
90,20100401,8.79,13.0,5.86,7.14,11.15
91,20100402,8.6,11.5,6.8,4.7,10.92
92,20100403,7.6,9.05,6.39,2.66,9.65
93,20100404,12.3,18.27,7.59,10.68,14.08
94,20100405,10.95,13.03,8.34,4.69,12.51
95,20100406,13.44,16.43,10.05,6.38,15.64
96,20100407,16.52,20.69,13.05,7.64,19.35
97,20100408,14.31,17.06,12.06,5.0,17.2
98,20100409,11.11,12.93,7.24,5.69,12.32
99,20100410,8.31,12.17,4.62,7.55,8.36
100,20100411,11.62,16.71,7.1,9.61,12.79
101,20100412,10.96,13.92,8.15,5.77,12.18
102,20100413,8.76,10.12,7.24,2.88,8.8
103,20100414,10.13,14.6,6.07,8.53,11.39
104,20100415,11.82,16.98,7.64,9.34,13.32
105,20100416,9.33,10.79,8.63,2.16,11.55
106,20100417,9.3,11.4,6.71,4.69,9.97
107,20100418,8.3,11.38,5.21,6.17,8.62
108,20100419,9.68,12.66,5.68,6.98,10.0
109,20100420,11.03,14.79,6.8,7.99,12.56
110,20100421,11.26,13.62,8.93,4.69,12.55
111,20100422,12.24,15.56,8.86,6.7,14.12
112,20100423,10.95,14.9,6.91,7.99,11.55
113,20100424,10.71,14.28,6.48,7.8,12.09
114,20100425,9.99,10.77,9.15,1.62,9.94
115,20100426,10.23,11.57,8.81,2.76,11.11
116,20100427,9.76,12.82,5.26,7.56,10.36
117,20100428,8.35,11.82,4.41,7.41,7.8
118,20100429,10.78,15.38,5.88,9.5,10.39
119,20100430,13.69,17.71,9.49,8.22,15.04
120,20100501,15.62,21.17,11.85,9.32,18.9
121,20100502,17.22,21.12,13.85,7.27,20.87
122,20100503,17.73,20.28,16.15,4.13,21.09
123,20100504,16.64,19.83,13.47,6.36,19.0
124,20100505,14.92,18.74,11.93,6.81,16.78
125,20100506,16.46,20.06,13.05,7.01,18.13
126,20100507,13.72,16.88,10.49,6.39,15.48
127,20100508,15.31,18.62,10.3,8.32,16.05
128,20100509,9.28,12.03,6.9,5.13,9.13
129,20100510,9.54,13.66,5.48,8.18,9.32
130,20100511,9.65,11.89,6.37,5.52,9.73
131,20100512,9.1,9.94,7.92,2.02,8.6
132,20100513,11.41,15.2,7.19,8.01,13.44
133,20100514,15.59,19.06,11.44,7.62,18.17
134,20100515,15.88,18.22,13.43,4.79,17.54
135,20100516,15.02,18.53,11.59,6.94,16.55
136,20100517,14.43,18.18,11.82,6.36,14.48
137,20100518,11.61,12.88,10.62,2.26,10.88
138,20100519,13.1,15.58,10.55,5.03,14.76
139,20100520,16.03,19.53,11.59,7.94,18.87
140,20100521,16.32,20.08,13.6,6.48,19.02
141,20100522,14.69,16.0,13.41,2.59,16.24
142,20100523,15.59,17.54,13.91,3.63,18.39
143,20100524,16.09,17.67,14.7,2.97,19.16
144,20100525,17.21,19.85,14.23,5.62,20.04
145,20100526,21.0,25.46,15.58,9.88,23.78
146,20100527,16.94,20.75,14.38,6.37,19.46
147,20100528,15.59,17.09,14.15,2.94,17.59
148,20100529,16.89,18.88,14.28,4.6,18.63
149,20100530,20.12,23.53,16.7,6.83,22.47
150,20100531,19.43,23.32,16.62,6.7,22.58
151,20100601,20.5,23.0,17.83,5.17,22.22
152,20100602,20.33,22.58,18.1,4.48,23.13
153,20100603,21.5,23.77,18.83,4.94,23.47
154,20100604,22.29,25.19,19.36,5.83,25.18
155,20100605,23.19,26.0,20.56,5.44,25.11
156,20100606,21.89,24.94,16.15,8.79,23.07
157,20100607,17.91,20.98,14.54,6.44,18.81
158,20100608,17.69,20.41,14.46,5.95,18.27
159,20100609,16.99,19.43,15.15,4.28,17.1
160,20100610,18.2,20.83,14.49,6.34,20.52
161,20100611,17.37,18.92,15.92,3.0,19.59
162,20100612,18.95,21.31,16.17,5.14,20.89
163,20100613,19.88,21.79,18.19,3.6,23.13
164,20100614,20.41,22.71,18.13,4.58,23.05
165,20100615,19.78,21.94,17.4,4.54,21.91
166,20100616,19.54,21.01,17.29,3.72,20.61
167,20100617,20.76,22.7,17.63,5.07,22.67
168,20100618,20.42,24.61,16.42,8.19,22.95
169,20100619,20.48,22.99,17.6,5.39,22.93
170,20100620,23.39,26.11,20.06,6.05,25.98
171,20100621,24.23,27.25,20.87,6.38,26.78
172,20100622,22.52,24.76,20.4,4.36,24.7
173,20100623,25.21,28.19,21.74,6.45,27.77
174,20100624,25.47,28.34,22.87,5.47,27.25
175,20100625,23.56,26.09,20.99,5.1,26.86
176,20100626,24.17,27.56,20.42,7.14,27.2
177,20100627,25.38,28.21,22.21,6.0,28.55
178,20100628,26.32,29.0,24.24,4.76,29.12
179,20100629,25.64,28.43,21.73,6.7,28.33
180,20100630,21.31,24.4,18.01,6.39,23.72
181,20100701,20.97,24.16,17.4,6.76,22.9
182,20100702,21.47,24.84,16.78,8.06,24.32
183,20100703,23.01,27.08,18.06,9.02,26.21
184,20100704,24.75,29.42,19.61,9.81,28.11
185,20100705,26.1,31.04,20.6,10.44,29.88
186,20100706,28.28,34.25,23.17,11.08,32.9
187,20100707,27.18,30.75,24.34,6.41,31.71
188,20100708,25.14,26.81,23.83,2.98,29.55
189,20100709,25.09,26.74,23.41,3.33,28.04
190,20100710,24.64,26.14,22.27,3.87,26.46
191,20100711,25.31,29.18,21.56,7.62,29.7
192,20100712,25.43,28.62,22.06,6.56,28.84
193,20100713,24.73,26.26,23.08,3.18,26.41
194,20100714,24.45,25.72,23.51,2.21,25.86
195,20100715,24.66,27.63,22.5,5.13,28.41
196,20100716,25.89,28.6,23.11,5.49,29.2
197,20100717,26.58,29.39,24.12,5.27,29.63
198,20100718,26.93,30.16,23.24,6.92,30.29
199,20100719,25.82,27.68,23.52,4.16,26.93
200,20100720,26.7,29.19,24.46,4.73,30.45
201,20100721,27.0,29.51,24.76,4.75,30.86
202,20100722,26.28,29.18,23.06,6.12,29.2
203,20100723,25.86,27.66,23.55,4.11,28.12
204,20100724,28.1,31.52,25.05,6.47,31.65
205,20100725,26.86,30.14,23.02,7.12,30.71
206,20100726,24.81,28.16,20.83,7.33,27.54
207,20100727,24.92,28.22,20.88,7.34,28.01
208,20100728,24.82,27.11,21.67,5.44,27.96
209,20100729,24.97,27.57,22.99,4.58,27.07
210,20100730,23.37,25.89,20.24,5.65,26.84
211,20100731,22.75,25.5,19.71,5.79,26.9
212,20100801,22.73,24.09,21.35,2.74,23.56
213,20100802,23.65,25.61,21.84,3.77,26.7
214,20100803,23.95,26.0,21.96,4.04,27.15
215,20100804,25.08,27.54,22.94,4.6,29.36
216,20100805,26.55,29.29,23.8,5.49,30.22
217,20100806,25.97,28.78,22.1,6.68,29.43
218,20100807,23.88,26.57,21.23,5.34,27.55
219,20100808,24.6,27.44,21.87,5.57,28.13
220,20100809,25.54,28.48,22.71,5.77,29.07
221,20100810,26.45,28.97,23.89,5.08,30.92
222,20100811,26.09,29.51,23.85,5.66,30.82
223,20100812,24.03,25.36,22.79,2.57,25.65
224,20100813,23.1,25.03,21.3,3.73,25.95
225,20100814,22.28,24.1,20.14,3.96,25.21
226,20100815,23.49,25.3,21.48,3.82,26.07
227,20100816,24.87,27.16,22.99,4.17,27.47
228,20100817,25.9,28.6,23.67,4.93,29.15
229,20100818,23.43,25.31,22.12,3.19,24.78
230,20100819,24.81,27.8,21.64,6.16,28.73
231,20100820,25.81,30.13,22.7,7.43,29.62
232,20100821,23.91,25.87,20.94,4.93,26.76
233,20100822,24.44,26.08,23.48,2.6,25.37
234,20100823,21.78,24.18,19.17,5.01,23.2
235,20100824,20.59,22.81,18.84,3.97,20.92
236,20100825,21.31,23.66,19.06,4.6,23.0
237,20100826,22.65,26.08,19.56,6.52,25.32
238,20100827,21.33,24.74,17.44,7.3,23.89
239,20100828,21.7,25.6,17.05,8.55,24.44
240,20100829,24.61,30.71,18.63,12.08,27.33
241,20100830,25.26,30.38,19.95,10.43,27.92
242,20100831,27.18,32.44,22.04,10.4,30.63
243,20100901,26.32,29.6,23.18,6.42,30.47
244,20100902,25.41,28.76,22.64,6.12,28.7
245,20100903,24.84,27.15,22.69,4.46,26.92
246,20100904,23.37,25.69,19.48,6.21,25.09
247,20100905,20.54,24.24,16.96,7.28,21.76
248,20100906,21.01,24.0,16.97,7.03,23.42
249,20100907,23.2,26.45,19.79,6.66,25.59
250,20100908,24.29,28.73,19.27,9.46,26.73
251,20100909,19.93,22.48,17.38,5.1,21.67
252,20100910,19.76,22.98,16.72,6.26,21.86
253,20100911,20.32,24.08,16.66,7.42,23.36
254,20100912,19.14,20.04,17.99,2.05,19.39
255,20100913,19.64,22.51,17.52,4.99,21.75
256,20100914,20.87,24.94,17.88,7.06,22.12
257,20100915,18.84,22.6,16.01,6.59,19.8
258,20100916,19.79,22.46,15.72,6.74,20.78
259,20100917,20.79,22.99,16.79,6.2,22.73
260,20100918,18.46,20.58,16.35,4.23,19.88
261,20100919,20.45,23.88,17.04,6.84,22.73
262,20100920,19.31,22.48,16.43,6.05,20.19
263,20100921,18.16,21.47,14.05,7.42,19.79
264,20100922,22.06,26.28,18.31,7.97,24.29
265,20100923,21.15,24.11,19.3,4.81,23.87
266,20100924,22.54,26.2,19.43,6.77,25.05
267,20100925,23.52,26.85,20.76,6.09,25.68
268,20100926,20.08,22.93,17.89,5.04,22.17
269,20100927,20.39,21.73,17.94,3.79,21.02
270,20100928,21.78,22.85,20.4,2.45,22.24
271,20100929,20.59,23.13,18.41,4.72,21.96
272,20100930,22.0,22.74,20.58,2.16,22.4
273,20101001,19.57,22.37,15.43,6.94,19.36
274,20101002,15.86,18.23,13.13,5.1,15.62
275,20101003,15.11,17.22,13.22,4.0,13.79
276,20101004,14.98,16.53,13.19,3.34,13.71
277,20101005,16.15,19.08,14.42,4.66,16.27
278,20101006,15.07,17.11,13.21,3.9,15.12
279,20101007,15.89,20.26,12.61,7.65,14.95
280,20101008,16.4,20.46,12.42,8.04,15.12
281,20101009,16.16,20.27,12.25,8.02,15.12
282,20101010,14.63,19.49,9.46,10.03,13.51
283,20101011,17.39,21.26,13.79,7.47,17.67
284,20101012,16.88,18.71,13.45,5.26,16.15
285,20101013,13.64,16.53,10.51,6.02,12.59
286,20101014,14.54,17.07,12.95,4.12,12.33
287,20101015,12.6,15.0,10.26,4.74,11.65
288,20101016,12.57,15.13,10.26,4.87,11.05
289,20101017,13.91,18.9,9.5,9.4,11.87
290,20101018,12.68,15.02,10.24,4.78,10.74
291,20101019,12.04,14.59,9.56,5.03,11.33
292,20101020,12.09,14.8,9.62,5.18,9.49
293,20101021,12.89,16.11,10.51,5.6,10.57
294,20101022,9.9,11.99,8.49,3.5,7.67
295,20101023,12.24,16.5,7.82,8.68,10.35
296,20101024,14.59,17.0,12.36,4.64,14.12
297,20101025,16.1,19.19,12.89,6.3,15.9
298,20101026,17.44,19.3,15.97,3.33,18.8
299,20101027,18.28,20.1,16.88,3.22,19.38
300,20101028,17.11,20.14,12.81,7.33,16.71
301,20101029,11.29,13.41,8.32,5.09,9.5
302,20101030,10.65,13.39,7.42,5.97,8.48
303,20101031,10.62,13.74,6.51,7.23,8.74
304,20101101,6.82,9.98,4.22,5.76,5.01
305,20101102,7.71,10.14,4.85,5.29,5.01
306,20101103,9.39,11.32,7.65,3.67,6.79
307,20101104,10.54,11.87,8.97,2.9,9.01
308,20101105,9.64,12.25,8.07,4.18,8.45
309,20101106,7.98,10.67,5.86,4.81,6.37
310,20101107,6.87,10.29,4.72,5.57,5.16
311,20101108,6.28,8.42,5.03,3.39,4.07
312,20101109,8.56,11.84,5.4,6.44,7.58
313,20101110,9.87,12.96,7.45,5.51,8.39
314,20101111,8.25,11.99,5.54,6.45,5.63
315,20101112,9.19,13.8,5.23,8.57,6.17
316,20101113,10.69,14.63,6.21,8.42,7.03
317,20101114,9.87,13.26,6.99,6.27,7.03
318,20101115,11.4,13.21,9.73,3.48,10.7
319,20101116,12.04,14.59,10.61,3.98,11.13
320,20101117,13.3,15.1,9.45,5.65,12.64
321,20101118,9.66,12.22,7.35,4.87,7.82
322,20101119,6.92,8.67,5.35,3.32,4.44
323,20101120,8.77,12.18,5.9,6.28,6.18
324,20101121,6.95,8.77,5.41,3.36,4.78
325,20101122,11.97,14.77,9.07,5.7,10.33
326,20101123,12.26,14.54,10.17,4.37,10.92
327,20101124,7.03,9.64,4.98,4.66,5.06
328,20101125,5.83,9.9,3.81,6.09,4.19
329,20101126,9.72,12.13,4.67,7.46,8.39
330,20101127,4.23,6.63,2.09,4.54,1.6
331,20101128,4.71,7.4,1.5,5.9,1.26
332,20101129,6.37,8.4,4.57,3.83,2.8
333,20101130,10.94,12.46,7.39,5.07,9.0
334,20101201,10.98,14.98,4.34,10.64,10.15
335,20101202,3.86,5.76,1.95,3.81,2.03
336,20101203,3.48,4.78,2.63,2.15,1.16
337,20101204,2.71,4.8,1.24,3.56,-0.09
338,20101205,1.48,2.5,0.7,1.8,-0.78
339,20101206,1.58,2.73,0.83,1.9,-0.79
340,20101207,1.38,2.79,0.57,2.22,-0.91
341,20101208,0.51,1.99,-0.38,2.37,-1.97
342,20101209,-1.11,0.11,-2.7,2.81,-3.17
343,20101210,0.23,3.59,-2.98,6.57,-2.18
344,20101211,4.29,6.2,1.68,4.52,0.04
345,20101212,9.38,12.23,6.48,5.75,7.71
346,20101213,3.75,6.69,-2.75,9.44,2.34
347,20101214,-3.42,-2.83,-3.84,1.01,-4.71
348,20101215,-2.49,-1.43,-3.63,2.2,-4.51
349,20101216,-1.39,-0.09,-2.65,2.56,-4.01
350,20101217,-0.21,2.36,-2.78,5.14,-3.45
351,20101218,0.7,2.35,-1.28,3.63,-2.09
352,20101219,1.27,2.92,-0.1,3.02,-1.64
353,20101220,0.23,2.9,-1.99,4.89,-2.01
354,20101221,0.41,3.66,-1.79,5.45,-1.61
355,20101222,0.72,4.01,-1.31,5.32,-1.42
356,20101223,0.55,2.11,-0.34,2.45,-1.26
357,20101224,0.61,3.73,-1.06,4.79,-1.32
358,20101225,-0.72,0.67,-2.23,2.9,-2.34
359,20101226,-1.46,-0.44,-4.01,3.57,-3.11
360,20101227,-3.69,-2.83,-4.36,1.53,-5.77
361,20101228,-0.35,2.55,-4.44,6.99,-4.05
362,20101229,0.24,2.77,-1.92,4.69,-4.6
363,20101230,0.51,3.18,-2.16,5.34,-4.46
364,20101231,2.6,5.17,0.46,4.71,-0.96
365,20110101,3.73,5.94,1.6,4.34,1.15
366,20110102,4.77,7.18,0.83,6.35,2.49
367,20110103,0.08,2.12,-1.4,3.52,-2.21
368,20110104,1.39,4.24,-0.22,4.46,-1.08
369,20110105,1.3,3.05,-0.47,3.52,-1.02
370,20110106,-0.71,0.25,-1.8,2.05,-2.68
371,20110107,0.37,1.95,-1.78,3.73,-2.08
372,20110108,-1.5,-0.49,-2.51,2.02,-3.53
373,20110109,-1.68,0.21,-2.83,3.04,-3.22
374,20110110,-1.44,1.82,-3.72,5.54,-3.74
375,20110111,-1.74,0.56,-4.05,4.61,-2.96
376,20110112,-1.44,0.3,-3.14,3.44,-2.93
377,20110113,-3.16,-0.62,-6.49,5.87,-5.93
378,20110114,-4.14,-1.59,-6.86,5.27,-7.6
379,20110115,-0.16,2.61,-3.74,6.35,-3.43
380,20110116,-0.5,1.6,-3.89,5.49,-3.73
381,20110117,-3.84,-0.43,-6.6,6.17,-5.98
382,20110118,3.47,6.07,0.11,5.96,0.58
383,20110119,2.29,4.29,0.71,3.58,-0.17
384,20110120,-0.11,0.97,-1.27,2.24,-2.25
385,20110121,-1.3,1.59,-6.08,7.67,-2.75
386,20110122,-6.34,-4.49,-8.47,3.98,-9.47
387,20110123,-6.23,-3.4,-9.78,6.38,-9.43
388,20110124,-8.17,-3.78,-11.56,7.78,-10.12
389,20110125,-0.01,2.09,-3.33,5.42,-3.74
390,20110126,0.74,1.59,-0.06,1.65,-1.37
391,20110127,0.67,1.7,-1.17,2.87,-1.39
392,20110128,-0.15,1.23,-2.12,3.35,-2.97
393,20110129,-0.47,1.12,-1.91,3.03,-3.37
394,20110130,-1.12,1.67,-3.64,5.31,-5.98
395,20110131,-3.75,-1.4,-6.41,5.01,-8.06
396,20110201,-0.06,2.45,-2.18,4.63,-1.76
397,20110202,1.86,5.16,-1.37,6.53,-0.66
398,20110203,-2.5,-0.96,-4.89,3.93,-5.05
399,20110204,-2.86,0.55,-7.19,7.74,-6.48
400,20110205,1.71,5.54,-1.19,6.73,-0.89
401,20110206,2.08,3.78,0.51,3.27,0.32
402,20110207,2.5,4.44,0.95,3.49,0.83
403,20110208,0.29,3.21,-6.03,9.24,-0.51
404,20110209,-3.79,-0.6,-7.43,6.83,-4.09
405,20110210,-3.22,-1.56,-5.31,3.75,-4.33
406,20110211,-1.79,2.58,-6.4,8.98,-4.45
407,20110212,0.23,3.35,-2.17,5.52,-1.96
408,20110213,1.49,5.36,-2.77,8.13,-0.4
409,20110214,5.35,9.62,2.15,7.47,4.18
410,20110215,-1.18,1.21,-3.54,4.75,-2.3
411,20110216,1.99,5.48,-1.9,7.38,0.59
412,20110217,4.93,8.77,2.37,6.4,4.45
413,20110218,8.31,12.29,4.53,7.76,9.35
414,20110219,2.19,6.52,-3.29,9.81,0.89
415,20110220,-0.82,3.74,-5.48,9.22,-1.41
416,20110221,0.19,1.83,-3.19,5.02,-0.46
417,20110222,-2.47,1.22,-5.94,7.16,-2.6
418,20110223,-0.38,3.64,-4.97,8.61,-2.22
419,20110224,2.33,4.78,-0.42,5.2,0.72
420,20110225,5.01,10.12,0.28,9.84,4.34
421,20110226,1.39,3.74,-0.82,4.56,0.55
422,20110227,4.49,7.53,2.38,5.15,4.04
423,20110228,6.76,11.44,3.04,8.4,7.5
424,20110301,2.42,5.14,-0.4,5.54,1.35
425,20110302,3.13,8.25,-3.05,11.3,2.35
426,20110303,-2.38,0.1,-5.37,5.47,-2.41
427,20110304,1.64,3.34,-0.82,4.16,1.26
428,20110305,6.47,9.21,3.36,5.85,6.67
429,20110306,7.34,9.99,6.23,3.76,8.42
430,20110307,3.69,10.24,-0.43,10.67,4.04
431,20110308,1.87,5.35,-0.84,6.19,1.86
432,20110309,3.05,4.59,1.26,3.33,2.71
433,20110310,6.89,8.55,3.89,4.66,7.3
434,20110311,7.43,8.86,3.6,5.26,8.8
435,20110312,5.43,8.65,2.21,6.44,5.62
436,20110313,5.81,8.07,3.16,4.91,6.27
437,20110314,4.04,6.15,2.04,4.11,3.95
438,20110315,3.73,5.76,0.97,4.79,4.44
439,20110316,6.61,9.51,4.08,5.43,7.2
440,20110317,7.55,11.24,4.14,7.1,8.94
441,20110318,10.2,15.67,6.57,9.1,11.77
442,20110319,6.34,8.16,2.15,6.01,7.14
443,20110320,3.3,6.04,0.37,5.67,4.45
444,20110321,5.27,7.26,3.63,3.63,4.71
445,20110322,5.99,8.29,3.78,4.51,6.85
446,20110323,2.78,3.84,1.44,2.4,3.39
447,20110324,2.8,5.35,0.35,5.0,3.38
448,20110325,1.48,4.8,-1.25,6.05,2.05
449,20110326,0.36,3.4,-1.88,5.28,0.27
450,20110327,1.33,5.07,-0.89,5.96,1.86
451,20110328,1.45,5.71,-2.13,7.84,1.16
452,20110329,2.81,6.68,-0.48,7.16,2.47
453,20110330,4.13,6.7,1.26,5.44,4.15
454,20110331,4.17,5.29,2.32,2.97,4.54
455,20110401,3.85,6.03,2.07,3.96,3.77
456,20110402,5.66,8.88,2.06,6.82,6.01
457,20110403,6.7,9.77,2.62,7.15,7.13
458,20110404,8.1,11.81,5.13,6.68,10.03
459,20110405,8.33,11.34,4.2,7.14,9.31
460,20110406,5.97,9.55,2.29,7.26,6.73
461,20110407,5.97,8.06,4.42,3.64,6.96
462,20110408,5.22,7.09,3.75,3.34,5.45
463,20110409,6.01,8.92,4.18,4.74,8.49
464,20110410,7.1,9.39,4.83,4.56,9.14
465,20110411,11.34,15.55,6.33,9.22,14.5
466,20110412,11.23,13.52,7.88,5.64,13.69
467,20110413,8.81,10.29,7.43,2.86,10.94
468,20110414,10.74,16.01,6.85,9.16,12.64
469,20110415,7.22,8.84,5.17,3.67,8.98
470,20110416,7.98,11.86,5.26,6.6,8.34
471,20110417,10.28,11.5,9.02,2.48,12.08
472,20110418,8.86,11.31,6.83,4.48,10.22
473,20110419,8.51,9.72,6.87,2.85,9.97
474,20110420,10.24,14.62,6.58,8.04,13.26
475,20110421,9.03,11.3,4.65,6.65,10.02
476,20110422,5.97,7.54,3.32,4.22,6.45
477,20110423,10.28,12.99,6.7,6.29,11.3
478,20110424,14.68,17.7,12.38,5.32,18.1
479,20110425,13.26,16.94,10.66,6.28,16.77
480,20110426,14.62,17.91,11.28,6.63,17.5
481,20110427,13.75,15.78,12.38,3.4,16.17
482,20110428,14.7,17.24,12.73,4.51,16.93
483,20110429,13.41,16.15,10.82,5.33,15.04
484,20110430,12.02,15.4,8.53,6.87,13.49
485,20110501,10.87,13.7,8.56,5.14,12.47
486,20110502,11.84,14.14,9.24,4.9,13.5
487,20110503,13.32,15.34,11.41,3.93,15.56
488,20110504,11.53,13.83,8.13,5.7,11.78
489,20110505,11.09,14.19,7.78,6.41,10.85
490,20110506,12.15,15.22,8.44,6.78,12.68
491,20110507,13.83,16.87,11.12,5.75,15.78
492,20110508,14.42,19.1,10.04,9.06,16.75
493,20110509,14.2,16.85,11.71,5.14,15.67
494,20110510,13.72,17.66,10.6,7.06,15.25
495,20110511,13.63,16.62,10.6,6.02,14.73
496,20110512,13.37,16.26,10.83,5.43,15.68
497,20110513,13.18,15.25,10.96,4.29,15.47
498,20110514,14.11,15.9,12.4,3.5,16.25
499,20110515,15.31,16.87,13.84,3.03,16.68
500,20110516,15.05,16.31,14.12,2.19,16.92
501,20110517,13.99,15.91,12.5,3.41,14.95
502,20110518,15.35,16.75,13.64,3.11,16.99
503,20110519,15.65,17.66,13.67,3.99,17.42
504,20110520,14.85,16.43,13.51,2.92,16.37
505,20110521,15.56,18.6,12.62,5.98,18.19
506,20110522,13.69,14.69,13.0,1.69,15.59
507,20110523,15.94,17.23,13.78,3.45,17.58
508,20110524,19.57,22.41,16.32,6.09,22.07
509,20110525,18.98,23.31,16.0,7.31,22.1
510,20110526,18.23,20.24,15.96,4.28,20.35
511,20110527,19.52,21.59,17.43,4.16,21.87
512,20110528,19.3,21.44,17.57,3.87,21.89
513,20110529,19.88,21.78,17.48,4.3,22.18
514,20110530,23.04,26.84,19.54,7.3,25.38
515,20110531,21.09,23.63,18.51,5.12,23.66
516,20110601,21.16,22.96,18.53,4.43,22.21
517,20110602,19.38,21.73,15.02,6.71,19.42
518,20110603,17.11,20.84,13.45,7.39,17.11
519,20110604,17.22,20.98,12.51,8.47,18.3
520,20110605,16.89,18.2,15.49,2.71,18.78
521,20110606,19.57,22.55,16.68,5.87,22.66
522,20110607,21.23,24.77,17.08,7.69,23.36
